"id","belongs_to","name","nft_ip_id","image_url"
clu0rwrkh0003h51ndz9r95e7,b88f1260-fba2-4480-9f20-9688d752519f,Oz,"0x88dDBD54463A9628d39567D6C406AA35fdc2Be3d",https://arweave.net/EdqoWzTyASiKadifKV6natm37WmSOMJ8R8z22votyyw
clu0rwrki0004h51n4c56hg4q,b88f1260-fba2-4480-9f20-9688d752519f,Scarecrow,"0xA67578BE7372758cAab1e6f0470CEB37862c7e7E",https://arweave.net/MYKsoKSC9u_jqJhtg9yJ1dgQkBmLOlyA0DTDVAJ1zxo
clu0rwrki0005h51n7i9ydweq,b88f1260-fba2-4480-9f20-9688d752519f,Tin Woodman,"0x97E47EECb2EB8e167eba978425D706cf4432f6E8",https://arweave.net/72uSLfideImzIKWlhTweWnJSY4RxT7TWqMUr4Vylzd8
clu0rwrki0006h51ng8pxf7hg,b88f1260-fba2-4480-9f20-9688d752519f,Toto,"0xB82c0F918eB248498c877457A17EBD01fCf906ba",https://arweave.net/GGnIa5vlaFcKQYvFLJ_9Lk39Gn56Qu5dJza9UmvJ-3s
clu0rwrki0007h51n0p53fxx0,b88f1260-fba2-4480-9f20-9688d752519f,Winkies,"0x969FB8DfFF4b504F311D82441Ea7fB48AA330377",https://arweave.net/GTcaqV-V9ZhrqecOgR_OEwbP2tOhTxPr6UI6XtF863U
clu0rwrki0008h51nd0blcz4f,b88f1260-fba2-4480-9f20-9688d752519f,Witch,"0xf554516b6b1f92671a03141C5D883F63c73cEd28",https://arweave.net/ve-OBHS91M4Wxtf7nfKQkPvJqC_n8jzxNqMuMJR8sxs
clu0rwrki0009h51n6rk5boej,b88f1260-fba2-4480-9f20-9688d752519f,Woodman,"0xc0b4f05C8127F200ef5175452a9f622322B0B075",https://arweave.net/1XuClYToIqHuNyWEZBOOmWLGt8NacO14zfFHJd5sXFU
clu0u2o0e0000s91nhyfv5ush,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Arthur,"0xbd4f7e0126A5d01f9402bc5C5Bf1fA9AF3488Cc2",https://arweave.net/ROdXMzJt0zGyvRD4heEVHanvtpe9sp6l-DqBizKZnLM
clu0u2o0f0001s91n4p61cc5k,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Godalming,"0xbd4f7e0126A5d01f9402bc5C5Bf1fA9AF3488Cc2",https://arweave.net/eyhgMqhEOqzYyokrH1TsEJlhL1_yt_tlGVq-rAuyRQ8
clu0u2o0f0002s91n560g8dgx,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Harker,"0xc428389eD808C92feCdE208A1EE540de46CB1b06",https://arweave.net/3TPxMlpqEcoJR2A4Uqq0MtgHzYd6G9D72Pu_TNXsBmc
clu0u2o0f0003s91nbpqo18xa,"87c992b2-b3a8-4494-ad1e-b47aaf072765",John,"0x866317f837C24D75E5e64b7dC0e821A637d09045",https://arweave.net/j0aqHVKdUmrLtZQ-vDMuIXBCFEcVDGO1WMkrHBi8ikU
clu0u2o0f0004s91n7yisbisi,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Jonathan,"0xA03a29c078b3c5b2c443DaAe7a928635f232Ec59",https://arweave.net/hMNT4MT5RFP1cwJ5ptcLNrEKt9ppdI_eFEZJfXdZ41k
clu0u2o0g0005s91ngjhbfa73,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Lucy,"0x8B3c172d8A289F0f4a7eA1096f4D91eD57B75bB4",https://arweave.net/Ssf-AscGqC78FytSW7wgEkeNEwlHD6oRr911IAw42uk
clu0u2o0g0006s91nd8pc4fo0,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Mina,"0xB17885ba1c45B05f4Ffc8cCe36C5657AcBBbb94f",https://arweave.net/N3aXtYzRFsjP0_tlblyV3ghvOWfqNzV0ANBskDcwhVI
clu0u2o0g0007s91n11bu6fpo,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Quincey,"0xc397f1006983e1bF077aEeA5cA42578CCB54f692",https://arweave.net/GUsL_1CdavmM6PsIZDPVFe5nQWAIb1kona1wJ60CQvs
clu0u2o0g0008s91n8q8wgxyl,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Seward,"0x605341d3AFd17cb4Fd3b6e8213Edc587ea1e015F",https://arweave.net/wEvVEVT8i0jw43tmCPmJ90nwmb4elqk-vLkyLCCxqFg
clu0u2o0g0009s91n4l9ya26o,"87c992b2-b3a8-4494-ad1e-b47aaf072765",Van Helsing,"0x98058CdDFE194f74E889F8cEfbB60e2B66934184",https://arweave.net/ODy3DNMGpQdfzq6GKh9T3H8u35ypfC2nmwA5YEWkLYc
clu0x2c6u0000a91n2f412cdp,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Bennet,"0xA271308168898da2c8b14F69b72c854fC1e3c305",https://arweave.net/W1jSS0TcGhshX0g3kl8_4Hg_KXIKkgD5SOxPT8eDpvE
clu0x2c6v0001a91navbngb0b,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Bingley,"0x282B1E79CB8B1c157D4A40a1C0B0F8844D96F504",https://arweave.net/fIRQCOdbRKsyg4n271jNjLacGLp1fiQNEYvKUvvWt-c
clu0x2c6v0002a91nf4r45jt8,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Catherine,"0xef5520579c839a7cF67F3Fd65b3f055F03341b1E",https://arweave.net/huK0_3j0xWsMZj9ky52YoV1I3bwaU-t2iMx__oeyKlY
