"id","name","source_from","source_id","ip_id","policies","licenses","image_url"
cltzgs3io0007dr1na1b40v20,Scrooge,character,cltzfwl690007071n2e26b1dd,"0xa5FDA6e4b19fAeC918131B9d17754590BB0EdCB9",,,https://arweave.net/4omz5q728446dYJiIbU22TmY7Lv173y0aDWG6RZHBaM
cltzgs3io0008dr1ngfjxhvu6,Spirit,character,cltzfwl690008071ngnpedy1s,"0x805A68c843FD04fc4FBe01304bCe8012e96d9c31",,,https://arweave.net/RJA2luG77-P61YLGVHlGmZRm3FO4j6iB4yDOg64fcAo
cltzgs3io0009dr1n2xhb5jyz,Tiny Tim,character,cltzfwl690009071n54sm08j7,"0xF6795495BeE4AE8808CCf4Fe3b2d994FF9b8AFF4",,,https://arweave.net/gbsJmKgwv08WVRkHL23DPu39n7QrRgbY5zCfsfros0U
clu0o33n30000fv1nfoug4ubr,Alice,character,clu0nukl00000c41n2imeac3c,"0x6da83F956dB9906848CA795c14DDaf912aD023F5",,,https://arweave.net/Eg8tdvRvVt8V1Hu_wyWGAq3Slo0ifu8Ex7McVu-VW3E
clu0o33n40001fv1nfcz36sgd,Dinah,character,clu0nukl10001c41ngh9q82nq,"0x3464c12426C384B2C14244FFE648919C24264a01",,,https://arweave.net/S8SpBXE4oUyqvr4fOhW11FXcV9p0aEItoFhmJZwdVjY
clu0o33n40002fv1ne4aq9rjg,Dormouse,character,clu0nukl10002c41n3stg8czq,"0xc45f2838660d5fE22a3D26a9182043C897511621",,,https://arweave.net/Nur0CH6VVXSjnPew0R780vFJmQ4phxY3zL1IAPYALA4
clu0o33n40003fv1nfwv69suu,Duchess,character,clu0nukl20003c41n6d141vfo,"0xF16B4FA86a0108FB1468290B99fBAF70D6738f79",,,https://arweave.net/zhDmASxndpWvNjukSoZWqwbQn7scGBujwqRA-rTvjIw
clu0o33n40004fv1n8yiq00q7,Hatter,character,clu0nukl20004c41n5s532aor,"0xe7496Ee03A36DD2eBa52d6eA4Ed3e98A4E2DbD9C",,,https://arweave.net/0Me8-ToCvLx95eFyA12baNH3i9iWzrJTSPzcAP4Phwk
clu0o33n40005fv1n9efwg5qi,March Hare,character,clu0nukl20005c41nc0gyhjme,"0x1581e84F9E11aEd5bA04A5D0433967EB9B23F1f9",,,https://arweave.net/gNQAAsPE07yqT-BlMIvBQ41BSuLOkRVZEaXdYtW5Qac
clu0o33n40006fv1nchijhrpz,Mock Turtle,character,clu0nukl20006c41nhuq0b4fv,"0x1FDABa5995576a061b637CDFeF1F0b2823642979",,,https://arweave.net/v8O3Oq9eDjBb0U2XWlk1pHjH9J278K4y5ejcicfTyI8
clu0o33n50007fv1nfuwocjuk,Mouse,character,clu0nukl20007c41ndhrt43g0,"0x619116B05Dd76584e123753Ae22097f37008E126",,,https://arweave.net/i1Mvs-NC1PX1CwH9w3xjxJrDqEmIvTLVp3rtHQP27E4
clu0o33n50008fv1nh31m3r3f,White Rabbit,character,clu0nukl20008c41n3ng4d4ol,"0xb5667Db309FB7B2DB1D16CD4679324f88D906105",,,https://arweave.net/SufberHzHKczRWarudLHw0gw6i826e4TJwiMGteZuCI
clu0r1txz0000ny1n2s8p04jx,Buck,character,clu0qyhwh0000i71n1muhbi1c,"0xe1FD42479185b2BF6AFFEcf689f3F6C46A47954e",,,https://arweave.net/hM0Y-mlTGvFF3UBWX3YpaG6EuduzvE7E4rAoDKgTpmI
clu0r1ty00001ny1ng1hk2w2k,Huck,character,clu0qyhwi0001i71n3xwlf577,"0x77Bb9cb1d0F3177a3DdE397BDc0E7761151EC465",,,https://arweave.net/8GzLrw1OlS7wgDcLBytY6vASe4OZNEMJh-yAAVrPfVE
clu0r1ty00002ny1nf418fm5x,Jim,character,clu0qyhwi0002i71nbmxtek2g,"0xedF4D1de5BE4281722f8C92c646A3e3b3688Fbf6",,,https://arweave.net/wNoWN7StswBowCuHtRL-rJCzR_Z7UHDU9DFumw8K3rI
clu0r1ty00003ny1n4w76c3tf,Mary Jane,character,clu0qyhwi0003i71ngx27bp86,"0xdECBD7744188e048dc9f7eDb93839F97527b82bD",,,https://arweave.net/tVHnVCY3G2JnTRH182LhBtjcHPTXO974mEu1tUZ86zs
clu0r1ty10004ny1nhynkastj,pap,character,clu0qyhwi0004i71n97t2eaeo,"0x0E372D30178dE9bd8F1b75311e742be40926eEa1",,,https://arweave.net/buJQtEMa73qJhI22OHYVXkTa_DT9RJjQLHX_YeSTt_I
clu0r1ty10005ny1nfq00f7c2,Sally,character,clu0qyhwi0005i71n02quarvm,"0x866E9757e44bff0669968DE23215b09f4387ca1c",,,https://arweave.net/LlP6AKpXXceaKQQSBaH0KbPfFCuxHTe1AJ_7OMvnIyU
clu0r1ty10006ny1nh96t7820,Watson,character,clu0qyhwi0006i71nbimvavtl,"0x6ae18549E69e361c06596246b915BA7eBaEbD0C1",,,https://arweave.net/069q53MnDwGjnq9pGHP9Ps-lXtMgoX6U-rJmwarQ3cg
clu0remqr0000251n66x20wyp,Tom Sawyer,character,clu0r6gge0000qx1n2qju0mtx,"0xC47503BE3ecD3915DF41Ec5FE8a91879794CbADf",,,https://arweave.net/DUWz5tI8JS17UWsczWLfdnsrrJMG4-v4SMdJuQ27w-Q
clu0remqs0001251n1im6fudr,Tom,character,clu0r6ggf0001qx1nf0xc5isl,"0x78e6223bfAe7578Df8FeD720Cd969195fb9FD47B",,,https://arweave.net/qEMcOhSMT3SUk6KFQH47nDLfZ8xWRqJJM2tYJdnD4Ms
clu0rwy2h0000ih1ncba04ywk,Dorothy,character,clu0rwrkg0000h51n8nsw1nko,"0x51E57787199c4b3C14895804E88Dea81a4855428",,,https://arweave.net/B8PUCyedxbVyaAqS7Q6bA2lzvI03AJaPF1LOMHGL85Q
clu0rwy2i0001ih1n61m1dqh2,Em,character,clu0rwrkh0001h51n0x1se2z6,"0x7601858d124568375b474feA91a1bC156e4C14dD",,,https://arweave.net/lqZ5dXrGWSF9h5F919luujqIlznhndOV7bzBx04GuRg
clu0rwy2i0002ih1nfew24qqq,Glinda,character,clu0rwrkh0002h51n6hb1egws,"0xA5b1447CF577679968c1FA3E6d2E86ebD3359Ea2",,,https://arweave.net/EQE4Qh8L9Arr2Jmu9Mtbi6g5bNwWFJfrmGlJAVDlNdc
clu0rwy2i0003ih1ne6jvhzxr,Oz,character,clu0rwrkh0003h51ndz9r95e7,"0x88dDBD54463A9628d39567D6C406AA35fdc2Be3d",,,https://arweave.net/EdqoWzTyASiKadifKV6natm37WmSOMJ8R8z22votyyw
